fecha,temperatura_c,precipitacion_mm
2026-04-26 06:00:00,19.2,0.0
2026-04-26 07:00:00,18.2,0.0
2026-04-26 08:00:00,17.5,0.0
2026-04-26 09:00:00,17.0,0.0
2026-04-26 10:00:00,16.5,0.0
2026-04-26 11:00:00,15.8,0.0
2026-04-26 12:00:00,15.3,0.0
2026-04-26 13:00:00,15.3,0.0
2026-04-26 14:00:00,17.2,0.0
2026-04-26 15:00:00,19.9,0.0
2026-04-26 16:00:00,22.7,0.0
2026-04-26 17:00:00,25.1,0.0
2026-04-26 18:00:00,26.5,0.0
2026-04-26 19:00:00,28.2,0.0
2026-04-26 20:00:00,28.6,0.0
2026-04-26 21:00:00,27.2,0.1
2026-04-26 22:00:00,24.1,0.8
2026-04-27 06:00:00,19.8,0.0
2026-04-27 07:00:00,19.0,0.0
2026-04-27 08:00:00,18.2,0.0
2026-04-27 09:00:00,17.2,0.0
2026-04-27 10:00:00,16.4,0.0
2026-04-27 11:00:00,15.8,0.0
2026-04-27 12:00:00,15.1,0.0
2026-04-27 13:00:00,14.8,0.0
2026-04-27 14:00:00,17.0,0.0
2026-04-27 15:00:00,20.0,0.0
2026-04-27 16:00:00,23.0,0.0
2026-04-27 17:00:00,25.7,0.0
2026-04-27 18:00:00,27.6,0.0
2026-04-27 19:00:00,28.8,0.0
2026-04-27 20:00:00,29.5,0.0
2026-04-27 21:00:00,30.5,0.0
2026-04-27 22:00:00,26.9,0.5
2026-04-28 06:00:00,20.9,0.0
2026-04-28 07:00:00,20.0,0.0
2026-04-28 08:00:00,19.0,0.0
2026-04-28 09:00:00,18.0,0.0
2026-04-28 10:00:00,17.0,0.0
2026-04-28 11:00:00,16.4,0.0
2026-04-28 12:00:00,15.9,0.0
2026-04-28 13:00:00,15.6,0.0
2026-04-28 14:00:00,17.0,0.0
2026-04-28 15:00:00,20.2,0.0
2026-04-28 16:00:00,23.4,0.0
2026-04-28 17:00:00,26.0,0.0
2026-04-28 18:00:00,28.1,0.0
2026-04-28 19:00:00,29.5,0.0
2026-04-28 20:00:00,31.0,0.0
2026-04-28 21:00:00,31.2,0.0
2026-04-28 22:00:00,31.2,0.0
